          date data
0   2021-02-01   17
1   2021-02-02   17
2   2021-02-03   12
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    4
9   2021-02-10    4
10  2021-02-11    7
11  2021-02-12   12
12  2021-02-13    0
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    7
16  2021-02-17    0
17  2021-02-18   12
18  2021-02-19   32
19  2021-02-20   35
20  2021-02-21   22
21  2021-02-22   22
22  2021-02-23   12
23  2021-02-24    2
24  2021-02-25    4
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    7
29  2021-03-02   20
30  2021-03-03    9
31  2021-03-04    4
32  2021-03-05    2
33  2021-03-06    7
34  2021-03-07    0
35  2021-03-08    0
36  2021-03-09   30
37  2021-03-10   27
38  2021-03-11   12
39  2021-03-12    7
40  2021-03-13    2
41  2021-03-14   15
42  2021-03-15    7
43  2021-03-16    0
44  2021-03-17   20
45  2021-03-18   17
46  2021-03-19   27
47  2021-03-20   32
48  2021-03-21   20
49  2021-03-22   15
50  2021-03-23   15
51  2021-03-24    4
52  2021-03-25   44
53  2021-03-26   17
54  2021-03-27   27
55  2021-03-28    7
56  2021-03-29   72
57  2021-03-30   52
58  2021-03-31   32
59  2021-04-01    9
60  2021-04-02    7
61  2021-04-03    2
62  2021-04-04    0
63  2021-04-05    9
64  2021-04-06    4
65  2021-04-07    2
66  2021-04-08    4
67  2021-04-09    9
68  2021-04-10    4
69  2021-04-11   20
70  2021-04-12   12
71  2021-04-13    9
72  2021-04-14    2
73  2021-04-15    7
74  2021-04-16    4
75  2021-04-17   12
76  2021-04-18    0
77  2021-04-19    4
78  2021-04-20    4
79  2021-04-21    2
80  2021-04-22    7
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    9
86  2021-04-28    4
87  2021-04-29    7
88  2021-04-30   27
89  2021-05-01   12
90  2021-05-02    4
91  2021-05-03   17
92  2021-05-04   22
93  2021-05-05    4
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  235
104 2021-05-16    0
105 2021-05-17    4
106 2021-05-18    0
107 2021-05-19    4
108 2021-05-20  107
109 2021-05-21   12
110 2021-05-22   12
111 2021-05-23   30
112 2021-05-24   39
113 2021-05-25   27
114 2021-05-26    9
115 2021-05-27   17
116 2021-05-28   20
117 2021-05-29   20
118 2021-05-30    9
119 2021-05-31   15
120 2021-06-01    2
121 2021-06-02   12
122 2021-06-03    4
123 2021-06-04    2
124 2021-06-05    4
125 2021-06-06    4
126 2021-06-07  102
127 2021-06-08  290
128 2021-06-09  127
129 2021-06-10   85
130 2021-06-11  652
131 2021-06-12   70
132 2021-06-13   27
133 2021-06-14   42
134 2021-06-15   32
135 2021-06-16   44
136 2021-06-17   27
137 2021-06-18   27
138 2021-06-19   49
139 2021-06-20   39
140 2021-06-21   20
141 2021-06-22   27
142 2021-06-23   15
143 2021-06-24   32
144 2021-06-25   20
145 2021-06-26   22
146 2021-06-27    0
147 2021-06-28    2
148 2021-06-29    7
149 2021-06-30   17
150 2021-07-01    4
151 2021-07-02   60
152 2021-07-03   82
153 2021-07-04   77
154 2021-07-05   74
155 2021-07-06   20
156 2021-07-07   20
157 2021-07-08   15
158 2021-07-09   17
159 2021-07-10   17
160 2021-07-11   20
161 2021-07-12   15
162 2021-07-13   15
163 2021-07-14    4
164 2021-07-15    7
