          date  data
0   2021-02-01     4
1   2021-02-02    27
2   2021-02-03    20
3   2021-02-04     8
4   2021-02-05     7
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09     4
9   2021-02-10    12
10  2021-02-11    22
11  2021-02-12    12
12  2021-02-13    20
13  2021-02-14     0
14  2021-02-15     7
15  2021-02-16     4
16  2021-02-17     9
17  2021-02-18    17
18  2021-02-19    25
19  2021-02-20    27
20  2021-02-21    27
21  2021-02-22    25
22  2021-02-23    17
23  2021-02-24     4
24  2021-02-25     0
25  2021-02-26     0
26  2021-02-27     9
27  2021-02-28    12
28  2021-03-01    20
29  2021-03-02     7
30  2021-03-03     7
31  2021-03-04     9
32  2021-03-05     2
33  2021-03-06     2
34  2021-03-07     7
35  2021-03-08    12
36  2021-03-09     9
37  2021-03-10    35
38  2021-03-11     9
39  2021-03-12    12
40  2021-03-13     7
41  2021-03-14    22
42  2021-03-15     7
43  2021-03-16     9
44  2021-03-17     9
45  2021-03-18    27
46  2021-03-19    22
47  2021-03-20    30
48  2021-03-21    15
49  2021-03-22    12
50  2021-03-23    17
51  2021-03-24    15
52  2021-03-25    14
53  2021-03-26    15
54  2021-03-27    12
55  2021-03-28    15
56  2021-03-29    67
57  2021-03-30    35
58  2021-03-31    35
59  2021-04-01    27
60  2021-04-02    17
61  2021-04-03    25
62  2021-04-04    25
63  2021-04-05     7
64  2021-04-06    12
65  2021-04-07     4
66  2021-04-08     4
67  2021-04-09    22
68  2021-04-10    17
69  2021-04-11     9
70  2021-04-12    20
71  2021-04-13    17
72  2021-04-14     7
73  2021-04-15     0
74  2021-04-16     2
75  2021-04-17    15
76  2021-04-18     2
77  2021-04-19     9
78  2021-04-20     4
79  2021-04-21     9
80  2021-04-22     2
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    15
85  2021-04-27    30
86  2021-04-28    49
87  2021-04-29    67
88  2021-04-30    30
89  2021-05-01    30
90  2021-05-02    22
91  2021-05-03    20
92  2021-05-04    47
93  2021-05-05     2
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09     2
98  2021-05-10     2
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14     4
103 2021-05-15   345
104 2021-05-16     4
105 2021-05-17     4
106 2021-05-18     0
107 2021-05-19     2
108 2021-05-20   109
109 2021-05-21    27
110 2021-05-22    20
111 2021-05-23    47
112 2021-05-24    57
113 2021-05-25    22
114 2021-05-26    12
115 2021-05-27    20
116 2021-05-28    25
117 2021-05-29    22
118 2021-05-30    15
119 2021-05-31     7
120 2021-06-01     4
121 2021-06-02    15
122 2021-06-03     0
123 2021-06-04    12
124 2021-06-05    32
125 2021-06-06    22
126 2021-06-07   140
127 2021-06-08   535
128 2021-06-09   242
129 2021-06-10    85
130 2021-06-11  1155
131 2021-06-12   175
132 2021-06-13    65
133 2021-06-14    49
134 2021-06-15    47
135 2021-06-16    82
136 2021-06-17    42
137 2021-06-18    57
138 2021-06-19    82
139 2021-06-20    62
140 2021-06-21    57
141 2021-06-22    37
142 2021-06-23    37
143 2021-06-24    62
144 2021-06-25    49
145 2021-06-26    39
146 2021-06-27     7
147 2021-06-28     0
148 2021-06-29     4
149 2021-06-30    25
150 2021-07-01    12
151 2021-07-02   162
152 2021-07-03   180
153 2021-07-04   175
154 2021-07-05   114
155 2021-07-06    74
156 2021-07-07    42
157 2021-07-08    32
158 2021-07-09    55
159 2021-07-10    32
160 2021-07-11    17
161 2021-07-12    22
162 2021-07-13    22
163 2021-07-14    15
164 2021-07-15     9
