          date  data
0   2021-02-01    57
1   2021-02-02    72
2   2021-02-03    32
3   2021-02-04    40
4   2021-02-05     9
5   2021-02-06     2
6   2021-02-07     4
7   2021-02-08     4
8   2021-02-09    20
9   2021-02-10    32
10  2021-02-11    70
11  2021-02-12    42
12  2021-02-13    15
13  2021-02-14     4
14  2021-02-15     7
15  2021-02-16     4
16  2021-02-17    12
17  2021-02-18    42
18  2021-02-19    49
19  2021-02-20    77
20  2021-02-21    65
21  2021-02-22    74
22  2021-02-23    42
23  2021-02-24    17
24  2021-02-25     2
25  2021-02-26    15
26  2021-02-27    22
27  2021-02-28     9
28  2021-03-01    15
29  2021-03-02    17
30  2021-03-03     9
31  2021-03-04     9
32  2021-03-05     9
33  2021-03-06    17
34  2021-03-07    30
35  2021-03-08    17
36  2021-03-09    37
37  2021-03-10    97
38  2021-03-11    65
39  2021-03-12    44
40  2021-03-13    27
41  2021-03-14    44
42  2021-03-15    39
43  2021-03-16    27
44  2021-03-17    52
45  2021-03-18    92
46  2021-03-19    65
47  2021-03-20   127
48  2021-03-21    97
49  2021-03-22    65
50  2021-03-23    60
51  2021-03-24    25
52  2021-03-25    84
53  2021-03-26    62
54  2021-03-27    79
55  2021-03-28    39
56  2021-03-29   227
57  2021-03-30   197
58  2021-03-31   117
59  2021-04-01    65
60  2021-04-02    35
61  2021-04-03    15
62  2021-04-04    25
63  2021-04-05    12
64  2021-04-06    67
65  2021-04-07    30
66  2021-04-08     9
67  2021-04-09    60
68  2021-04-10    55
69  2021-04-11    57
70  2021-04-12    62
71  2021-04-13    49
72  2021-04-14    20
73  2021-04-15     7
74  2021-04-16    20
75  2021-04-17    32
76  2021-04-18    25
77  2021-04-19    22
78  2021-04-20    22
79  2021-04-21     7
80  2021-04-22    15
81  2021-04-23     9
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    30
85  2021-04-27    82
86  2021-04-28   117
87  2021-04-29    89
88  2021-04-30   117
89  2021-05-01    70
90  2021-05-02    52
91  2021-05-03    65
92  2021-05-04   137
93  2021-05-05     4
94  2021-05-06     2
95  2021-05-07    12
96  2021-05-08     7
97  2021-05-09    12
98  2021-05-10     9
99  2021-05-11     0
100 2021-05-12     9
101 2021-05-13     2
102 2021-05-14    44
103 2021-05-15  1109
104 2021-05-16     2
105 2021-05-17     4
106 2021-05-18     2
107 2021-05-19     7
108 2021-05-20   427
109 2021-05-21    89
110 2021-05-22   105
111 2021-05-23   165
112 2021-05-24   170
113 2021-05-25    67
114 2021-05-26    77
115 2021-05-27    72
116 2021-05-28    62
117 2021-05-29    74
118 2021-05-30    49
119 2021-05-31    42
120 2021-06-01    17
121 2021-06-02    20
122 2021-06-03    27
123 2021-06-04    35
124 2021-06-05    70
125 2021-06-06    49
126 2021-06-07   462
127 2021-06-08  1205
128 2021-06-09   612
129 2021-06-10   255
130 2021-06-11  3055
131 2021-06-12   275
132 2021-06-13   187
133 2021-06-14   172
134 2021-06-15   145
135 2021-06-16   215
136 2021-06-17    74
137 2021-06-18   122
138 2021-06-19   202
139 2021-06-20   167
140 2021-06-21    89
141 2021-06-22    55
142 2021-06-23   109
143 2021-06-24   215
144 2021-06-25    52
145 2021-06-26    39
146 2021-06-27    25
147 2021-06-28    15
148 2021-06-29    17
149 2021-06-30    44
150 2021-07-01    95
151 2021-07-02   350
152 2021-07-03   377
153 2021-07-04   367
154 2021-07-05   184
155 2021-07-06   140
156 2021-07-07    70
157 2021-07-08    74
158 2021-07-09   127
159 2021-07-10    72
160 2021-07-11    47
161 2021-07-12    92
162 2021-07-13    55
163 2021-07-14    55
164 2021-07-15    47
