          date  data
0   2021-02-01    49
1   2021-02-02   162
2   2021-02-03    92
3   2021-02-04    40
4   2021-02-05    17
5   2021-02-06    17
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09    22
9   2021-02-10   107
10  2021-02-11   182
11  2021-02-12    95
12  2021-02-13    22
13  2021-02-14    12
14  2021-02-15     7
15  2021-02-16    12
16  2021-02-17    22
17  2021-02-18    44
18  2021-02-19    25
19  2021-02-20    44
20  2021-02-21    87
21  2021-02-22    87
22  2021-02-23    30
23  2021-02-24    17
24  2021-02-25     7
25  2021-02-26    27
26  2021-02-27    20
27  2021-02-28     4
28  2021-03-01    25
29  2021-03-02    35
30  2021-03-03    37
31  2021-03-04     2
32  2021-03-05    15
33  2021-03-06    17
34  2021-03-07    47
35  2021-03-08    42
36  2021-03-09    60
37  2021-03-10   154
38  2021-03-11    89
39  2021-03-12    87
40  2021-03-13    44
41  2021-03-14    85
42  2021-03-15    47
43  2021-03-16    49
44  2021-03-17    79
45  2021-03-18   147
46  2021-03-19   114
47  2021-03-20    92
48  2021-03-21   145
49  2021-03-22    44
50  2021-03-23    70
51  2021-03-24    60
52  2021-03-25   134
53  2021-03-26   102
54  2021-03-27    77
55  2021-03-28    57
56  2021-03-29   249
57  2021-03-30   142
58  2021-03-31   159
59  2021-04-01    60
60  2021-04-02    60
61  2021-04-03    57
62  2021-04-04    47
63  2021-04-05    65
64  2021-04-06    49
65  2021-04-07    20
66  2021-04-08    27
67  2021-04-09    95
68  2021-04-10    55
69  2021-04-11    82
70  2021-04-12    52
71  2021-04-13    55
72  2021-04-14     9
73  2021-04-15    27
74  2021-04-16    20
75  2021-04-17    35
76  2021-04-18    27
77  2021-04-19    60
78  2021-04-20    49
79  2021-04-21     7
80  2021-04-22    17
81  2021-04-23     2
82  2021-04-24     4
83  2021-04-25     0
84  2021-04-26    35
85  2021-04-27   107
86  2021-04-28   109
87  2021-04-29   130
88  2021-04-30   252
89  2021-05-01   105
90  2021-05-02    79
91  2021-05-03   100
92  2021-05-04   192
93  2021-05-05     7
94  2021-05-06     4
95  2021-05-07     2
96  2021-05-08     4
97  2021-05-09    12
98  2021-05-10    15
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     9
102 2021-05-14    30
103 2021-05-15  1270
104 2021-05-16    12
105 2021-05-17     2
106 2021-05-18    15
107 2021-05-19    20
108 2021-05-20   334
109 2021-05-21    95
110 2021-05-22   127
111 2021-05-23   267
112 2021-05-24   294
113 2021-05-25   142
114 2021-05-26    92
115 2021-05-27   100
116 2021-05-28   132
117 2021-05-29   142
118 2021-05-30    85
119 2021-05-31    57
120 2021-06-01    39
121 2021-06-02    25
122 2021-06-03    20
123 2021-06-04    44
124 2021-06-05   109
125 2021-06-06    57
126 2021-06-07   722
127 2021-06-08  1917
128 2021-06-09   732
129 2021-06-10   365
130 2021-06-11  3380
131 2021-06-12   494
132 2021-06-13   332
133 2021-06-14   259
134 2021-06-15   177
135 2021-06-16   294
136 2021-06-17   149
137 2021-06-18   262
138 2021-06-19   297
139 2021-06-20   310
140 2021-06-21   224
141 2021-06-22   112
142 2021-06-23   142
143 2021-06-24   312
144 2021-06-25    97
145 2021-06-26    77
146 2021-06-27    32
147 2021-06-28    30
148 2021-06-29    27
149 2021-06-30    49
150 2021-07-01   215
151 2021-07-02   527
152 2021-07-03   575
153 2021-07-04   489
154 2021-07-05   329
155 2021-07-06   229
156 2021-07-07   137
157 2021-07-08   102
158 2021-07-09   117
159 2021-07-10   127
160 2021-07-11   105
161 2021-07-12   105
162 2021-07-13   140
163 2021-07-14    55
164 2021-07-15    39
