          date data
0   2021-02-01    4
1   2021-02-02   17
2   2021-02-03   12
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    7
9   2021-02-10   17
10  2021-02-11   12
11  2021-02-12    0
12  2021-02-13    4
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    2
17  2021-02-18   12
18  2021-02-19    9
19  2021-02-20    2
20  2021-02-21    9
21  2021-02-22    4
22  2021-02-23    4
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    7
26  2021-02-27    4
27  2021-02-28    0
28  2021-03-01    9
29  2021-03-02    4
30  2021-03-03    0
31  2021-03-04    9
32  2021-03-05    0
33  2021-03-06    2
34  2021-03-07    2
35  2021-03-08    9
36  2021-03-09    9
37  2021-03-10   17
38  2021-03-11    9
39  2021-03-12   12
40  2021-03-13   12
41  2021-03-14    4
42  2021-03-15    9
43  2021-03-16   17
44  2021-03-17   20
45  2021-03-18   12
46  2021-03-19   12
47  2021-03-20   20
48  2021-03-21    9
49  2021-03-22   22
50  2021-03-23    7
51  2021-03-24    2
52  2021-03-25    8
53  2021-03-26   17
54  2021-03-27   15
55  2021-03-28    2
56  2021-03-29   22
57  2021-03-30   20
58  2021-03-31   15
59  2021-04-01   12
60  2021-04-02    2
61  2021-04-03    9
62  2021-04-04    4
63  2021-04-05    4
64  2021-04-06   12
65  2021-04-07    0
66  2021-04-08    9
67  2021-04-09   20
68  2021-04-10    7
69  2021-04-11   22
70  2021-04-12    4
71  2021-04-13    2
72  2021-04-14    7
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17    4
76  2021-04-18    2
77  2021-04-19   12
78  2021-04-20    2
79  2021-04-21    0
80  2021-04-22   12
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   44
86  2021-04-28   27
87  2021-04-29    7
88  2021-04-30   32
89  2021-05-01   32
90  2021-05-02   15
91  2021-05-03   37
92  2021-05-04   39
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  282
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    4
108 2021-05-20   60
109 2021-05-21   15
110 2021-05-22   12
111 2021-05-23   70
112 2021-05-24   39
113 2021-05-25   27
114 2021-05-26    7
115 2021-05-27   20
116 2021-05-28   25
117 2021-05-29   32
118 2021-05-30    7
119 2021-05-31   20
120 2021-06-01    2
121 2021-06-02    2
122 2021-06-03    0
123 2021-06-04    2
124 2021-06-05    7
125 2021-06-06   17
126 2021-06-07  117
127 2021-06-08  374
128 2021-06-09  142
129 2021-06-10   65
130 2021-06-11  512
131 2021-06-12  105
132 2021-06-13   60
133 2021-06-14   92
134 2021-06-15   30
135 2021-06-16   39
136 2021-06-17   44
137 2021-06-18   42
138 2021-06-19   37
139 2021-06-20   55
140 2021-06-21   49
141 2021-06-22   30
142 2021-06-23   37
143 2021-06-24   44
144 2021-06-25   17
145 2021-06-26   27
146 2021-06-27    0
147 2021-06-28    4
148 2021-06-29    4
149 2021-06-30    4
150 2021-07-01   47
151 2021-07-02   82
152 2021-07-03   82
153 2021-07-04  135
154 2021-07-05   60
155 2021-07-06   52
156 2021-07-07   30
157 2021-07-08   32
158 2021-07-09   22
159 2021-07-10    7
160 2021-07-11   27
161 2021-07-12   15
162 2021-07-13   12
163 2021-07-14   12
164 2021-07-15    7
