          date  data
0   2021-02-01    32
1   2021-02-02    62
2   2021-02-03    35
3   2021-02-04     4
4   2021-02-05     9
5   2021-02-06     7
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    52
10  2021-02-11    44
11  2021-02-12    30
12  2021-02-13    17
13  2021-02-14     2
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17    12
17  2021-02-18    12
18  2021-02-19     7
19  2021-02-20    20
20  2021-02-21    49
21  2021-02-22    30
22  2021-02-23     2
23  2021-02-24    22
24  2021-02-25     7
25  2021-02-26     4
26  2021-02-27     4
27  2021-02-28    12
28  2021-03-01    15
29  2021-03-02     0
30  2021-03-03    17
31  2021-03-04    17
32  2021-03-05    12
33  2021-03-06     7
34  2021-03-07     9
35  2021-03-08     9
36  2021-03-09    17
37  2021-03-10    82
38  2021-03-11    27
39  2021-03-12    22
40  2021-03-13    15
41  2021-03-14    20
42  2021-03-15    32
43  2021-03-16    25
44  2021-03-17    57
45  2021-03-18    49
46  2021-03-19    55
47  2021-03-20    39
48  2021-03-21    70
49  2021-03-22    27
50  2021-03-23    44
51  2021-03-24    32
52  2021-03-25    70
53  2021-03-26    47
54  2021-03-27    22
55  2021-03-28    32
56  2021-03-29    85
57  2021-03-30    62
58  2021-03-31    62
59  2021-04-01    25
60  2021-04-02    15
61  2021-04-03    20
62  2021-04-04    22
63  2021-04-05    22
64  2021-04-06     7
65  2021-04-07    17
66  2021-04-08    17
67  2021-04-09    39
68  2021-04-10    39
69  2021-04-11    32
70  2021-04-12    39
71  2021-04-13    22
72  2021-04-14    15
73  2021-04-15     7
74  2021-04-16     4
75  2021-04-17    25
76  2021-04-18    12
77  2021-04-19    17
78  2021-04-20    12
79  2021-04-21    12
80  2021-04-22     2
81  2021-04-23     0
82  2021-04-24     2
83  2021-04-25     2
84  2021-04-26    17
85  2021-04-27    49
86  2021-04-28    77
87  2021-04-29    65
88  2021-04-30    87
89  2021-05-01    72
90  2021-05-02    55
91  2021-05-03    44
92  2021-05-04   107
93  2021-05-05     4
94  2021-05-06     4
95  2021-05-07     0
96  2021-05-08     4
97  2021-05-09    17
98  2021-05-10     2
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     7
102 2021-05-14    20
103 2021-05-15   664
104 2021-05-16     2
105 2021-05-17     2
106 2021-05-18     2
107 2021-05-19     4
108 2021-05-20   132
109 2021-05-21    67
110 2021-05-22    65
111 2021-05-23   137
112 2021-05-24   122
113 2021-05-25    55
114 2021-05-26    37
115 2021-05-27    70
116 2021-05-28    77
117 2021-05-29    72
118 2021-05-30    60
119 2021-05-31    20
120 2021-06-01    15
121 2021-06-02     7
122 2021-06-03     4
123 2021-06-04    35
124 2021-06-05    42
125 2021-06-06    35
126 2021-06-07   269
127 2021-06-08   994
128 2021-06-09   304
129 2021-06-10   182
130 2021-06-11  1605
131 2021-06-12   232
132 2021-06-13   187
133 2021-06-14   117
134 2021-06-15   107
135 2021-06-16   137
136 2021-06-17    89
137 2021-06-18    77
138 2021-06-19   180
139 2021-06-20   124
140 2021-06-21   105
141 2021-06-22    85
142 2021-06-23    87
143 2021-06-24   135
144 2021-06-25    55
145 2021-06-26    32
146 2021-06-27    20
147 2021-06-28     7
148 2021-06-29    15
149 2021-06-30    35
150 2021-07-01   122
151 2021-07-02   272
152 2021-07-03   242
153 2021-07-04   294
154 2021-07-05   142
155 2021-07-06   140
156 2021-07-07    55
157 2021-07-08    65
158 2021-07-09    87
159 2021-07-10    52
160 2021-07-11    47
161 2021-07-12    79
162 2021-07-13    32
163 2021-07-14     9
164 2021-07-15    25
