          date data
0   2021-02-01   27
1   2021-02-02   20
2   2021-02-03    4
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10   20
10  2021-02-11   12
11  2021-02-12    2
12  2021-02-13    4
13  2021-02-14    2
14  2021-02-15    2
15  2021-02-16    2
16  2021-02-17    4
17  2021-02-18    9
18  2021-02-19   20
19  2021-02-20    7
20  2021-02-21   12
21  2021-02-22    9
22  2021-02-23    9
23  2021-02-24    4
24  2021-02-25    2
25  2021-02-26    2
26  2021-02-27    2
27  2021-02-28    4
28  2021-03-01    4
29  2021-03-02    9
30  2021-03-03    0
31  2021-03-04    7
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    2
36  2021-03-09   17
37  2021-03-10   27
38  2021-03-11   20
39  2021-03-12   12
40  2021-03-13    2
41  2021-03-14   17
42  2021-03-15    4
43  2021-03-16    4
44  2021-03-17    9
45  2021-03-18   30
46  2021-03-19   30
47  2021-03-20   17
48  2021-03-21   20
49  2021-03-22   15
50  2021-03-23   17
51  2021-03-24   17
52  2021-03-25    4
53  2021-03-26    7
54  2021-03-27   15
55  2021-03-28    4
56  2021-03-29   37
57  2021-03-30   27
58  2021-03-31   12
59  2021-04-01    7
60  2021-04-02    7
61  2021-04-03    7
62  2021-04-04    7
63  2021-04-05   12
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09    9
68  2021-04-10    2
69  2021-04-11   12
70  2021-04-12    7
71  2021-04-13   12
72  2021-04-14    2
73  2021-04-15    2
74  2021-04-16    9
75  2021-04-17    9
76  2021-04-18   20
77  2021-04-19    9
78  2021-04-20   17
79  2021-04-21    4
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   15
86  2021-04-28   22
87  2021-04-29   27
88  2021-04-30   55
89  2021-05-01   22
90  2021-05-02   27
91  2021-05-03   12
92  2021-05-04   22
93  2021-05-05    2
94  2021-05-06    4
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    2
98  2021-05-10    4
99  2021-05-11    2
100 2021-05-12    2
101 2021-05-13    0
102 2021-05-14   15
103 2021-05-15  247
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    4
108 2021-05-20   49
109 2021-05-21   30
110 2021-05-22   17
111 2021-05-23   62
112 2021-05-24   70
113 2021-05-25   32
114 2021-05-26   17
115 2021-05-27   20
116 2021-05-28   17
117 2021-05-29   27
118 2021-05-30   15
119 2021-05-31    7
120 2021-06-01    9
121 2021-06-02    0
122 2021-06-03    4
123 2021-06-04    4
124 2021-06-05   15
125 2021-06-06    9
126 2021-06-07  109
127 2021-06-08  290
128 2021-06-09  154
129 2021-06-10   52
130 2021-06-11  699
131 2021-06-12  107
132 2021-06-13   70
133 2021-06-14   57
134 2021-06-15   55
135 2021-06-16   67
136 2021-06-17   55
137 2021-06-18   27
138 2021-06-19   62
139 2021-06-20   65
140 2021-06-21   25
141 2021-06-22   37
142 2021-06-23   17
143 2021-06-24   60
144 2021-06-25   22
145 2021-06-26   27
146 2021-06-27    4
147 2021-06-28    4
148 2021-06-29    7
149 2021-06-30   20
150 2021-07-01   65
151 2021-07-02   74
152 2021-07-03   79
153 2021-07-04  127
154 2021-07-05   70
155 2021-07-06   62
156 2021-07-07   30
157 2021-07-08   15
158 2021-07-09   20
159 2021-07-10   17
160 2021-07-11   12
161 2021-07-12   22
162 2021-07-13   15
163 2021-07-14   15
164 2021-07-15    7
