          date  data
0   2021-02-01    12
1   2021-02-02    60
2   2021-02-03    20
3   2021-02-04    24
4   2021-02-05     2
5   2021-02-06     2
6   2021-02-07     7
7   2021-02-08     0
8   2021-02-09     7
9   2021-02-10    35
10  2021-02-11    60
11  2021-02-12    30
12  2021-02-13    15
13  2021-02-14     2
14  2021-02-15     4
15  2021-02-16     2
16  2021-02-17     2
17  2021-02-18    27
18  2021-02-19    12
19  2021-02-20    20
20  2021-02-21    35
21  2021-02-22    39
22  2021-02-23    17
23  2021-02-24     7
24  2021-02-25     4
25  2021-02-26     4
26  2021-02-27     4
27  2021-02-28    12
28  2021-03-01    17
29  2021-03-02    27
30  2021-03-03     7
31  2021-03-04     9
32  2021-03-05     7
33  2021-03-06     4
34  2021-03-07    35
35  2021-03-08    15
36  2021-03-09    35
37  2021-03-10    65
38  2021-03-11    37
39  2021-03-12    32
40  2021-03-13    17
41  2021-03-14    35
42  2021-03-15    22
43  2021-03-16     0
44  2021-03-17    52
45  2021-03-18    85
46  2021-03-19    35
47  2021-03-20    65
48  2021-03-21    37
49  2021-03-22    25
50  2021-03-23    37
51  2021-03-24    17
52  2021-03-25    30
53  2021-03-26    35
54  2021-03-27    35
55  2021-03-28    17
56  2021-03-29    37
57  2021-03-30    32
58  2021-03-31    70
59  2021-04-01    17
60  2021-04-02    37
61  2021-04-03    17
62  2021-04-04    12
63  2021-04-05    27
64  2021-04-06    35
65  2021-04-07    12
66  2021-04-08    12
67  2021-04-09    25
68  2021-04-10    25
69  2021-04-11    35
70  2021-04-12    25
71  2021-04-13    27
72  2021-04-14    20
73  2021-04-15     7
74  2021-04-16     4
75  2021-04-17    20
76  2021-04-18    12
77  2021-04-19    32
78  2021-04-20    12
79  2021-04-21     4
80  2021-04-22     7
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    17
85  2021-04-27    39
86  2021-04-28    62
87  2021-04-29    52
88  2021-04-30    57
89  2021-05-01    47
90  2021-05-02    32
91  2021-05-03    27
92  2021-05-04    89
93  2021-05-05     2
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     7
97  2021-05-09    20
98  2021-05-10     2
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13    12
102 2021-05-14    37
103 2021-05-15   682
104 2021-05-16     2
105 2021-05-17     4
106 2021-05-18    15
107 2021-05-19     2
108 2021-05-20   170
109 2021-05-21    37
110 2021-05-22    85
111 2021-05-23   167
112 2021-05-24   219
113 2021-05-25    74
114 2021-05-26    60
115 2021-05-27    67
116 2021-05-28    49
117 2021-05-29    67
118 2021-05-30    32
119 2021-05-31    25
120 2021-06-01     4
121 2021-06-02    39
122 2021-06-03    22
123 2021-06-04    25
124 2021-06-05    82
125 2021-06-06    44
126 2021-06-07   355
127 2021-06-08   894
128 2021-06-09   390
129 2021-06-10   137
130 2021-06-11  1532
131 2021-06-12   227
132 2021-06-13   159
133 2021-06-14   140
134 2021-06-15   132
135 2021-06-16   157
136 2021-06-17    82
137 2021-06-18   105
138 2021-06-19   122
139 2021-06-20   127
140 2021-06-21   107
141 2021-06-22    89
142 2021-06-23    55
143 2021-06-24   180
144 2021-06-25    60
145 2021-06-26    32
146 2021-06-27    20
147 2021-06-28    15
148 2021-06-29    15
149 2021-06-30    62
150 2021-07-01   112
151 2021-07-02   249
152 2021-07-03   320
153 2021-07-04   287
154 2021-07-05   114
155 2021-07-06   157
156 2021-07-07    44
157 2021-07-08    60
158 2021-07-09    67
159 2021-07-10    79
160 2021-07-11    70
161 2021-07-12    37
162 2021-07-13    52
163 2021-07-14    20
164 2021-07-15    35
