          date   data
0   2021-02-01    175
1   2021-02-02    967
2   2021-02-03    582
3   2021-02-04    254
4   2021-02-05    107
5   2021-02-06     25
6   2021-02-07      2
7   2021-02-08      4
8   2021-02-09    162
9   2021-02-10    465
10  2021-02-11    559
11  2021-02-12    312
12  2021-02-13    100
13  2021-02-14     65
14  2021-02-15     39
15  2021-02-16      0
16  2021-02-17     62
17  2021-02-18    219
18  2021-02-19    329
19  2021-02-20    482
20  2021-02-21    457
21  2021-02-22    352
22  2021-02-23    187
23  2021-02-24    105
24  2021-02-25     39
25  2021-02-26     57
26  2021-02-27    159
27  2021-02-28     65
28  2021-03-01    172
29  2021-03-02    235
30  2021-03-03    180
31  2021-03-04    217
32  2021-03-05    117
33  2021-03-06    117
34  2021-03-07    210
35  2021-03-08    100
36  2021-03-09    224
37  2021-03-10    872
38  2021-03-11    562
39  2021-03-12    460
40  2021-03-13    355
41  2021-03-14    580
42  2021-03-15    287
43  2021-03-16    317
44  2021-03-17    500
45  2021-03-18    900
46  2021-03-19    897
47  2021-03-20    617
48  2021-03-21    629
49  2021-03-22    424
50  2021-03-23    424
51  2021-03-24    252
52  2021-03-25    604
53  2021-03-26    387
54  2021-03-27    382
55  2021-03-28    327
56  2021-03-29    367
57  2021-03-30    245
58  2021-03-31    322
59  2021-04-01    395
60  2021-04-02    362
61  2021-04-03    285
62  2021-04-04    267
63  2021-04-05    325
64  2021-04-06    287
65  2021-04-07    147
66  2021-04-08     87
67  2021-04-09    620
68  2021-04-10    317
69  2021-04-11    432
70  2021-04-12    390
71  2021-04-13    337
72  2021-04-14    180
73  2021-04-15    132
74  2021-04-16    109
75  2021-04-17    237
76  2021-04-18    217
77  2021-04-19    302
78  2021-04-20    312
79  2021-04-21    170
80  2021-04-22     89
81  2021-04-23     47
82  2021-04-24      4
83  2021-04-25      9
84  2021-04-26    219
85  2021-04-27    582
86  2021-04-28    847
87  2021-04-29    627
88  2021-04-30   1032
89  2021-05-01    474
90  2021-05-02    382
91  2021-05-03    484
92  2021-05-04   1262
93  2021-05-05     35
94  2021-05-06     30
95  2021-05-07     15
96  2021-05-08     42
97  2021-05-09     77
98  2021-05-10     47
99  2021-05-11     20
100 2021-05-12     20
101 2021-05-13     55
102 2021-05-14    287
103 2021-05-15   8834
104 2021-05-16     60
105 2021-05-17     49
106 2021-05-18    100
107 2021-05-19    140
108 2021-05-20   2929
109 2021-05-21    929
110 2021-05-22   1190
111 2021-05-23   1777
112 2021-05-24   1600
113 2021-05-25    749
114 2021-05-26    482
115 2021-05-27    862
116 2021-05-28    570
117 2021-05-29    527
118 2021-05-30    447
119 2021-05-31    334
120 2021-06-01    132
121 2021-06-02    175
122 2021-06-03    202
123 2021-06-04    204
124 2021-06-05    599
125 2021-06-06    457
126 2021-06-07   2419
127 2021-06-08   8297
128 2021-06-09   3422
129 2021-06-10   1637
130 2021-06-11  21289
131 2021-06-12   2622
132 2021-06-13   1272
133 2021-06-14   1160
134 2021-06-15    985
135 2021-06-16   1452
136 2021-06-17    879
137 2021-06-18   1032
138 2021-06-19   1527
139 2021-06-20   1557
140 2021-06-21   1195
141 2021-06-22    787
142 2021-06-23    900
143 2021-06-24   1560
144 2021-06-25    672
145 2021-06-26    519
146 2021-06-27    199
147 2021-06-28    217
148 2021-06-29    237
149 2021-06-30    457
150 2021-07-01    792
151 2021-07-02   2682
152 2021-07-03   3279
153 2021-07-04   2744
154 2021-07-05   1925
155 2021-07-06   1477
156 2021-07-07    860
157 2021-07-08    617
158 2021-07-09    747
159 2021-07-10    612
160 2021-07-11    615
161 2021-07-12    674
162 2021-07-13    390
163 2021-07-14    285
164 2021-07-15    285
