          date   data
0   2021-02-01    365
1   2021-02-02   1460
2   2021-02-03    877
3   2021-02-04    404
4   2021-02-05    147
5   2021-02-06     65
6   2021-02-07     15
7   2021-02-08      9
8   2021-02-09    239
9   2021-02-10    817
10  2021-02-11   1029
11  2021-02-12    552
12  2021-02-13    199
13  2021-02-14     97
14  2021-02-15     74
15  2021-02-16     32
16  2021-02-17    140
17  2021-02-18    387
18  2021-02-19    447
19  2021-02-20    664
20  2021-02-21    767
21  2021-02-22    674
22  2021-02-23    347
23  2021-02-24    175
24  2021-02-25     77
25  2021-02-26    127
26  2021-02-27    224
27  2021-02-28    109
28  2021-03-01    297
29  2021-03-02    334
30  2021-03-03    299
31  2021-03-04    277
32  2021-03-05    189
33  2021-03-06    170
34  2021-03-07    352
35  2021-03-08    232
36  2021-03-09    474
37  2021-03-10   1410
38  2021-03-11    849
39  2021-03-12    727
40  2021-03-13    524
41  2021-03-14    847
42  2021-03-15    477
43  2021-03-16    474
44  2021-03-17    840
45  2021-03-18   1399
46  2021-03-19   1254
47  2021-03-20   1012
48  2021-03-21   1050
49  2021-03-22    620
50  2021-03-23    722
51  2021-03-24    422
52  2021-03-25    978
53  2021-03-26    739
54  2021-03-27    667
55  2021-03-28    527
56  2021-03-29   1037
57  2021-03-30    697
58  2021-03-31    822
59  2021-04-01    624
60  2021-04-02    565
61  2021-04-03    467
62  2021-04-04    424
63  2021-04-05    537
64  2021-04-06    452
65  2021-04-07    229
66  2021-04-08    187
67  2021-04-09    945
68  2021-04-10    519
69  2021-04-11    755
70  2021-04-12    640
71  2021-04-13    524
72  2021-04-14    287
73  2021-04-15    207
74  2021-04-16    180
75  2021-04-17    374
76  2021-04-18    317
77  2021-04-19    494
78  2021-04-20    474
79  2021-04-21    222
80  2021-04-22    145
81  2021-04-23     72
82  2021-04-24     15
83  2021-04-25     12
84  2021-04-26    355
85  2021-04-27    962
86  2021-04-28   1385
87  2021-04-29   1072
88  2021-04-30   1777
89  2021-05-01    875
90  2021-05-02    734
91  2021-05-03    870
92  2021-05-04   1962
93  2021-05-05     52
94  2021-05-06     49
95  2021-05-07     27
96  2021-05-08     77
97  2021-05-09    152
98  2021-05-10     79
99  2021-05-11     44
100 2021-05-12     27
101 2021-05-13     97
102 2021-05-14    449
103 2021-05-15  13679
104 2021-05-16     85
105 2021-05-17     70
106 2021-05-18    165
107 2021-05-19    194
108 2021-05-20   4064
109 2021-05-21   1345
110 2021-05-22   1675
111 2021-05-23   2827
112 2021-05-24   2840
113 2021-05-25   1267
114 2021-05-26    854
115 2021-05-27   1305
116 2021-05-28   1095
117 2021-05-29   1092
118 2021-05-30    725
119 2021-05-31    552
120 2021-06-01    232
121 2021-06-02    285
122 2021-06-03    277
123 2021-06-04    357
124 2021-06-05    952
125 2021-06-06    694
126 2021-06-07   4852
127 2021-06-08  15634
128 2021-06-09   6407
129 2021-06-10   2955
130 2021-06-11  33759
131 2021-06-12   4539
132 2021-06-13   2585
133 2021-06-14   2192
134 2021-06-15   1817
135 2021-06-16   2704
136 2021-06-17   1555
137 2021-06-18   1887
138 2021-06-19   2529
139 2021-06-20   2667
140 2021-06-21   1997
141 2021-06-22   1317
142 2021-06-23   1455
143 2021-06-24   2637
144 2021-06-25   1077
145 2021-06-26    827
146 2021-06-27    327
147 2021-06-28    322
148 2021-06-29    320
149 2021-06-30    720
150 2021-07-01   1657
151 2021-07-02   4490
152 2021-07-03   5325
153 2021-07-04   4799
154 2021-07-05   3092
155 2021-07-06   2459
156 2021-07-07   1334
157 2021-07-08   1059
158 2021-07-09   1282
159 2021-07-10   1074
160 2021-07-11    992
161 2021-07-12   1112
162 2021-07-13    742
163 2021-07-14    484
164 2021-07-15    489
