          date  data
0   2021-02-01    47
1   2021-02-02    92
2   2021-02-03    72
3   2021-02-04     0
4   2021-02-05    17
5   2021-02-06     9
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    25
9   2021-02-10   105
10  2021-02-11    72
11  2021-02-12    60
12  2021-02-13    12
13  2021-02-14    12
14  2021-02-15     4
15  2021-02-16     0
16  2021-02-17     2
17  2021-02-18    42
18  2021-02-19    49
19  2021-02-20    77
20  2021-02-21    67
21  2021-02-22    49
22  2021-02-23    22
23  2021-02-24     0
24  2021-02-25     0
25  2021-02-26     2
26  2021-02-27    22
27  2021-02-28     9
28  2021-03-01     9
29  2021-03-02    27
30  2021-03-03    17
31  2021-03-04    22
32  2021-03-05    20
33  2021-03-06     9
34  2021-03-07    17
35  2021-03-08     4
36  2021-03-09    32
37  2021-03-10   124
38  2021-03-11    74
39  2021-03-12    52
40  2021-03-13    52
41  2021-03-14    74
42  2021-03-15    47
43  2021-03-16    32
44  2021-03-17    65
45  2021-03-18   119
46  2021-03-19    89
47  2021-03-20   107
48  2021-03-21   102
49  2021-03-22    65
50  2021-03-23    44
51  2021-03-24    49
52  2021-03-25   114
53  2021-03-26    35
54  2021-03-27    35
55  2021-03-28    44
56  2021-03-29    60
57  2021-03-30    39
58  2021-03-31    44
59  2021-04-01    47
60  2021-04-02    52
61  2021-04-03    30
62  2021-04-04    32
63  2021-04-05    25
64  2021-04-06    25
65  2021-04-07    12
66  2021-04-08    25
67  2021-04-09    77
68  2021-04-10    57
69  2021-04-11    92
70  2021-04-12    74
71  2021-04-13    62
72  2021-04-14    47
73  2021-04-15    27
74  2021-04-16    27
75  2021-04-17    32
76  2021-04-18    20
77  2021-04-19    37
78  2021-04-20    52
79  2021-04-21     0
80  2021-04-22    17
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    32
85  2021-04-27   107
86  2021-04-28   114
87  2021-04-29    95
88  2021-04-30   124
89  2021-05-01    74
90  2021-05-02    65
91  2021-05-03    95
92  2021-05-04   124
93  2021-05-05     7
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     7
97  2021-05-09    15
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     4
101 2021-05-13     0
102 2021-05-14    42
103 2021-05-15  1422
104 2021-05-16     0
105 2021-05-17     7
106 2021-05-18    22
107 2021-05-19    15
108 2021-05-20   407
109 2021-05-21   114
110 2021-05-22   149
111 2021-05-23   222
112 2021-05-24   237
113 2021-05-25   132
114 2021-05-26    85
115 2021-05-27   102
116 2021-05-28    60
117 2021-05-29    74
118 2021-05-30    49
119 2021-05-31    35
120 2021-06-01    12
121 2021-06-02    12
122 2021-06-03    22
123 2021-06-04    39
124 2021-06-05    65
125 2021-06-06    77
126 2021-06-07   439
127 2021-06-08  1270
128 2021-06-09   580
129 2021-06-10   249
130 2021-06-11  2352
131 2021-06-12   377
132 2021-06-13   194
133 2021-06-14   199
134 2021-06-15   172
135 2021-06-16   252
136 2021-06-17    79
137 2021-06-18   140
138 2021-06-19   219
139 2021-06-20   184
140 2021-06-21   147
141 2021-06-22    95
142 2021-06-23   107
143 2021-06-24   239
144 2021-06-25   105
145 2021-06-26    67
146 2021-06-27    42
147 2021-06-28    25
148 2021-06-29    15
149 2021-06-30    52
150 2021-07-01   137
151 2021-07-02   377
152 2021-07-03   397
153 2021-07-04   374
154 2021-07-05   237
155 2021-07-06   224
156 2021-07-07   127
157 2021-07-08   102
158 2021-07-09   117
159 2021-07-10    62
160 2021-07-11    67
161 2021-07-12    82
162 2021-07-13    79
163 2021-07-14    35
164 2021-07-15    39
