          date data
0   2021-02-01   15
1   2021-02-02   22
2   2021-02-03    9
3   2021-02-04   18
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10   12
10  2021-02-11    9
11  2021-02-12   17
12  2021-02-13    4
13  2021-02-14    4
14  2021-02-15    4
15  2021-02-16    2
16  2021-02-17    0
17  2021-02-18    4
18  2021-02-19   22
19  2021-02-20   27
20  2021-02-21   22
21  2021-02-22    9
22  2021-02-23    4
23  2021-02-24    4
24  2021-02-25    4
25  2021-02-26    2
26  2021-02-27    7
27  2021-02-28    7
28  2021-03-01   12
29  2021-03-02    4
30  2021-03-03    4
31  2021-03-04    2
32  2021-03-05    9
33  2021-03-06    2
34  2021-03-07    7
35  2021-03-08    4
36  2021-03-09   20
37  2021-03-10   25
38  2021-03-11    4
39  2021-03-12    9
40  2021-03-13    2
41  2021-03-14   22
42  2021-03-15    2
43  2021-03-16   15
44  2021-03-17   17
45  2021-03-18   30
46  2021-03-19    9
47  2021-03-20   25
48  2021-03-21   12
49  2021-03-22    4
50  2021-03-23   15
51  2021-03-24   17
52  2021-03-25   30
53  2021-03-26   20
54  2021-03-27    4
55  2021-03-28   22
56  2021-03-29   62
57  2021-03-30   30
58  2021-03-31   42
59  2021-04-01    9
60  2021-04-02   12
61  2021-04-03    2
62  2021-04-04    4
63  2021-04-05    4
64  2021-04-06   22
65  2021-04-07    4
66  2021-04-08    7
67  2021-04-09   15
68  2021-04-10    7
69  2021-04-11   22
70  2021-04-12    4
71  2021-04-13    7
72  2021-04-14    7
73  2021-04-15    4
74  2021-04-16    4
75  2021-04-17    2
76  2021-04-18   12
77  2021-04-19    9
78  2021-04-20   17
79  2021-04-21    4
80  2021-04-22    9
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    2
84  2021-04-26    7
85  2021-04-27   22
86  2021-04-28   22
87  2021-04-29   17
88  2021-04-30   35
89  2021-05-01   27
90  2021-05-02   20
91  2021-05-03   25
92  2021-05-04   60
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    9
97  2021-05-09    7
98  2021-05-10    4
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    4
102 2021-05-14    4
103 2021-05-15  224
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    7
107 2021-05-19    0
108 2021-05-20   62
109 2021-05-21   22
110 2021-05-22   25
111 2021-05-23   47
112 2021-05-24   92
113 2021-05-25   20
114 2021-05-26   15
115 2021-05-27   30
116 2021-05-28   22
117 2021-05-29   47
118 2021-05-30   12
119 2021-05-31    7
120 2021-06-01    7
121 2021-06-02   20
122 2021-06-03    7
123 2021-06-04    2
124 2021-06-05   20
125 2021-06-06    2
126 2021-06-07  210
127 2021-06-08  549
128 2021-06-09  177
129 2021-06-10  109
130 2021-06-11  739
131 2021-06-12  109
132 2021-06-13   65
133 2021-06-14   52
134 2021-06-15   22
135 2021-06-16   52
136 2021-06-17   27
137 2021-06-18   47
138 2021-06-19   44
139 2021-06-20   52
140 2021-06-21   25
141 2021-06-22   22
142 2021-06-23   35
143 2021-06-24   82
144 2021-06-25   17
145 2021-06-26   27
146 2021-06-27    9
147 2021-06-28    2
148 2021-06-29    4
149 2021-06-30   15
150 2021-07-01   44
151 2021-07-02   77
152 2021-07-03  152
153 2021-07-04  114
154 2021-07-05   72
155 2021-07-06   30
156 2021-07-07   25
157 2021-07-08   17
158 2021-07-09   17
159 2021-07-10   20
160 2021-07-11   20
161 2021-07-12   22
162 2021-07-13   15
163 2021-07-14    4
164 2021-07-15    2
