          date data
0   2021-02-01    2
1   2021-02-02    4
2   2021-02-03    0
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    7
9   2021-02-10    2
10  2021-02-11    2
11  2021-02-12    0
12  2021-02-13    2
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    0
18  2021-02-19    0
19  2021-02-20    4
20  2021-02-21    0
21  2021-02-22    2
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    2
28  2021-03-01    0
29  2021-03-02    0
30  2021-03-03    0
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    0
35  2021-03-08    0
36  2021-03-09    0
37  2021-03-10    2
38  2021-03-11    2
39  2021-03-12    2
40  2021-03-13    2
41  2021-03-14    0
42  2021-03-15    2
43  2021-03-16    0
44  2021-03-17    2
45  2021-03-18    9
46  2021-03-19    0
47  2021-03-20    0
48  2021-03-21    0
49  2021-03-22    4
50  2021-03-23    0
51  2021-03-24    0
52  2021-03-25    0
53  2021-03-26    4
54  2021-03-27    4
55  2021-03-28    0
56  2021-03-29    9
57  2021-03-30    2
58  2021-03-31    0
59  2021-04-01    0
60  2021-04-02    2
61  2021-04-03    0
62  2021-04-04    0
63  2021-04-05    2
64  2021-04-06    4
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09    0
68  2021-04-10    0
69  2021-04-11    0
70  2021-04-12    0
71  2021-04-13    0
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17    0
76  2021-04-18    2
77  2021-04-19    0
78  2021-04-20    2
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27    4
86  2021-04-28    7
87  2021-04-29    4
88  2021-04-30   15
89  2021-05-01    2
90  2021-05-02    2
91  2021-05-03    4
92  2021-05-04    7
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    0
103 2021-05-15   42
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20    9
109 2021-05-21    2
110 2021-05-22    7
111 2021-05-23    7
112 2021-05-24    7
113 2021-05-25    0
114 2021-05-26    2
115 2021-05-27    0
116 2021-05-28    2
117 2021-05-29    9
118 2021-05-30    4
119 2021-05-31    0
120 2021-06-01    0
121 2021-06-02    4
122 2021-06-03    0
123 2021-06-04    0
124 2021-06-05    2
125 2021-06-06    2
126 2021-06-07   30
127 2021-06-08   52
128 2021-06-09   30
129 2021-06-10    2
130 2021-06-11   70
131 2021-06-12    7
132 2021-06-13    9
133 2021-06-14    4
134 2021-06-15   12
135 2021-06-16    2
136 2021-06-17    2
137 2021-06-18    0
138 2021-06-19    4
139 2021-06-20    9
140 2021-06-21    7
141 2021-06-22    0
142 2021-06-23    4
143 2021-06-24    4
144 2021-06-25    4
145 2021-06-26    4
146 2021-06-27    2
147 2021-06-28    0
148 2021-06-29    0
149 2021-06-30    2
150 2021-07-01    7
151 2021-07-02   17
152 2021-07-03    7
153 2021-07-04   12
154 2021-07-05    2
155 2021-07-06    7
156 2021-07-07    4
157 2021-07-08    7
158 2021-07-09    2
159 2021-07-10    4
160 2021-07-11    2
161 2021-07-12    0
162 2021-07-13    0
163 2021-07-14    4
164 2021-07-15    0
