          date data
0   2021-02-01   12
1   2021-02-02    4
2   2021-02-03    2
3   2021-02-04    4
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    9
10  2021-02-11   12
11  2021-02-12    4
12  2021-02-13    7
13  2021-02-14    4
14  2021-02-15    4
15  2021-02-16    2
16  2021-02-17    2
17  2021-02-18   12
18  2021-02-19    7
19  2021-02-20   25
20  2021-02-21    9
21  2021-02-22    9
22  2021-02-23    7
23  2021-02-24    4
24  2021-02-25    0
25  2021-02-26    2
26  2021-02-27   12
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    7
30  2021-03-03    2
31  2021-03-04    0
32  2021-03-05    4
33  2021-03-06    4
34  2021-03-07   12
35  2021-03-08    4
36  2021-03-09    4
37  2021-03-10   15
38  2021-03-11    7
39  2021-03-12    4
40  2021-03-13    9
41  2021-03-14   20
42  2021-03-15   12
43  2021-03-16    4
44  2021-03-17    9
45  2021-03-18    7
46  2021-03-19   12
47  2021-03-20   30
48  2021-03-21   35
49  2021-03-22    4
50  2021-03-23    7
51  2021-03-24    4
52  2021-03-25   34
53  2021-03-26   17
54  2021-03-27   20
55  2021-03-28    7
56  2021-03-29   39
57  2021-03-30   15
58  2021-03-31   12
59  2021-04-01    9
60  2021-04-02    2
61  2021-04-03   12
62  2021-04-04   15
63  2021-04-05   20
64  2021-04-06    4
65  2021-04-07    4
66  2021-04-08    2
67  2021-04-09    9
68  2021-04-10   12
69  2021-04-11    4
70  2021-04-12   17
71  2021-04-13   22
72  2021-04-14    4
73  2021-04-15    4
74  2021-04-16    4
75  2021-04-17    2
76  2021-04-18    4
77  2021-04-19    2
78  2021-04-20    9
79  2021-04-21    2
80  2021-04-22    2
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    4
85  2021-04-27    9
86  2021-04-28   17
87  2021-04-29   20
88  2021-04-30   35
89  2021-05-01   32
90  2021-05-02    4
91  2021-05-03    2
92  2021-05-04   32
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14   12
103 2021-05-15  187
104 2021-05-16    2
105 2021-05-17    0
106 2021-05-18    4
107 2021-05-19    0
108 2021-05-20   65
109 2021-05-21   17
110 2021-05-22   17
111 2021-05-23   27
112 2021-05-24   39
113 2021-05-25   12
114 2021-05-26    4
115 2021-05-27   12
116 2021-05-28    7
117 2021-05-29   15
118 2021-05-30    9
119 2021-05-31    7
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03    7
123 2021-06-04    2
124 2021-06-05   20
125 2021-06-06   15
126 2021-06-07  114
127 2021-06-08  239
128 2021-06-09  114
129 2021-06-10   49
130 2021-06-11  505
131 2021-06-12   70
132 2021-06-13   32
133 2021-06-14   20
134 2021-06-15   30
135 2021-06-16   37
136 2021-06-17   25
137 2021-06-18   22
138 2021-06-19   39
139 2021-06-20   57
140 2021-06-21   25
141 2021-06-22    7
142 2021-06-23   27
143 2021-06-24   42
144 2021-06-25    2
145 2021-06-26   30
146 2021-06-27    2
147 2021-06-28    2
148 2021-06-29    7
149 2021-06-30    4
150 2021-07-01   30
151 2021-07-02   65
152 2021-07-03   89
153 2021-07-04   60
154 2021-07-05   55
155 2021-07-06   44
156 2021-07-07   44
157 2021-07-08   17
158 2021-07-09   39
159 2021-07-10   12
160 2021-07-11   22
161 2021-07-12   12
162 2021-07-13    4
163 2021-07-14    4
164 2021-07-15    4
