          date data
0   2021-02-01    9
1   2021-02-02    4
2   2021-02-03   12
3   2021-02-04    4
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10   12
10  2021-02-11    4
11  2021-02-12    4
12  2021-02-13    0
13  2021-02-14    2
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    4
18  2021-02-19    7
19  2021-02-20    2
20  2021-02-21    9
21  2021-02-22    9
22  2021-02-23    7
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    4
28  2021-03-01    2
29  2021-03-02    4
30  2021-03-03    0
31  2021-03-04    4
32  2021-03-05    2
33  2021-03-06    7
34  2021-03-07    4
35  2021-03-08    0
36  2021-03-09    7
37  2021-03-10    9
38  2021-03-11    4
39  2021-03-12    0
40  2021-03-13    2
41  2021-03-14    0
42  2021-03-15    7
43  2021-03-16    2
44  2021-03-17    9
45  2021-03-18    7
46  2021-03-19    7
47  2021-03-20   12
48  2021-03-21    4
49  2021-03-22    2
50  2021-03-23    4
51  2021-03-24    4
52  2021-03-25    0
53  2021-03-26   12
54  2021-03-27    9
55  2021-03-28    2
56  2021-03-29   20
57  2021-03-30   15
58  2021-03-31    7
59  2021-04-01    4
60  2021-04-02    0
61  2021-04-03    4
62  2021-04-04    4
63  2021-04-05    0
64  2021-04-06    4
65  2021-04-07   17
66  2021-04-08    0
67  2021-04-09    9
68  2021-04-10    9
69  2021-04-11    7
70  2021-04-12    9
71  2021-04-13    7
72  2021-04-14    2
73  2021-04-15    4
74  2021-04-16    9
75  2021-04-17    7
76  2021-04-18    4
77  2021-04-19    7
78  2021-04-20    7
79  2021-04-21    4
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   17
86  2021-04-28    7
87  2021-04-29   17
88  2021-04-30    9
89  2021-05-01    4
90  2021-05-02    7
91  2021-05-03    7
92  2021-05-04   22
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    4
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    2
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  114
104 2021-05-16    2
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   47
109 2021-05-21    7
110 2021-05-22    7
111 2021-05-23   25
112 2021-05-24   27
113 2021-05-25   20
114 2021-05-26    2
115 2021-05-27   20
116 2021-05-28    4
117 2021-05-29    7
118 2021-05-30    9
119 2021-05-31    2
120 2021-06-01    0
121 2021-06-02    4
122 2021-06-03    2
123 2021-06-04    7
124 2021-06-05   12
125 2021-06-06    9
126 2021-06-07   65
127 2021-06-08  215
128 2021-06-09  112
129 2021-06-10   35
130 2021-06-11  312
131 2021-06-12   35
132 2021-06-13   12
133 2021-06-14   17
134 2021-06-15   27
135 2021-06-16   27
136 2021-06-17    9
137 2021-06-18   15
138 2021-06-19   35
139 2021-06-20   25
140 2021-06-21   32
141 2021-06-22    4
142 2021-06-23   15
143 2021-06-24   25
144 2021-06-25   27
145 2021-06-26    7
146 2021-06-27   12
147 2021-06-28    4
148 2021-06-29    2
149 2021-06-30   12
150 2021-07-01   17
151 2021-07-02   39
152 2021-07-03   47
153 2021-07-04   44
154 2021-07-05   27
155 2021-07-06    7
156 2021-07-07   15
157 2021-07-08   15
158 2021-07-09    9
159 2021-07-10   12
160 2021-07-11    4
161 2021-07-12    4
162 2021-07-13    0
163 2021-07-14    2
164 2021-07-15    7
