          date data
0   2021-02-01   42
1   2021-02-02   35
2   2021-02-03   49
3   2021-02-04   50
4   2021-02-05    2
5   2021-02-06    4
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10   25
10  2021-02-11   27
11  2021-02-12   27
12  2021-02-13    2
13  2021-02-14    9
14  2021-02-15    4
15  2021-02-16    0
16  2021-02-17    9
17  2021-02-18   15
18  2021-02-19   12
19  2021-02-20   35
20  2021-02-21   27
21  2021-02-22   25
22  2021-02-23    7
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26   12
26  2021-02-27   12
27  2021-02-28    7
28  2021-03-01   15
29  2021-03-02   12
30  2021-03-03   20
31  2021-03-04   20
32  2021-03-05    9
33  2021-03-06    4
34  2021-03-07   25
35  2021-03-08    7
36  2021-03-09   35
37  2021-03-10   49
38  2021-03-11   22
39  2021-03-12   17
40  2021-03-13    7
41  2021-03-14   32
42  2021-03-15    4
43  2021-03-16   17
44  2021-03-17   22
45  2021-03-18   42
46  2021-03-19   37
47  2021-03-20   27
48  2021-03-21   30
49  2021-03-22   17
50  2021-03-23   20
51  2021-03-24    7
52  2021-03-25   34
53  2021-03-26   39
54  2021-03-27    2
55  2021-03-28   15
56  2021-03-29   52
57  2021-03-30   47
58  2021-03-31   44
59  2021-04-01   25
60  2021-04-02    9
61  2021-04-03    9
62  2021-04-04   17
63  2021-04-05   42
64  2021-04-06   37
65  2021-04-07    0
66  2021-04-08    9
67  2021-04-09   32
68  2021-04-10    7
69  2021-04-11   22
70  2021-04-12   37
71  2021-04-13   22
72  2021-04-14    7
73  2021-04-15   12
74  2021-04-16   12
75  2021-04-17   12
76  2021-04-18   30
77  2021-04-19   15
78  2021-04-20   12
79  2021-04-21    4
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   27
85  2021-04-27   70
86  2021-04-28   47
87  2021-04-29   49
88  2021-04-30   52
89  2021-05-01   30
90  2021-05-02   30
91  2021-05-03   25
92  2021-05-04   67
93  2021-05-05    0
94  2021-05-06    4
95  2021-05-07    4
96  2021-05-08    2
97  2021-05-09    2
98  2021-05-10    4
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14   25
103 2021-05-15  350
104 2021-05-16    2
105 2021-05-17    4
106 2021-05-18    7
107 2021-05-19   30
108 2021-05-20  112
109 2021-05-21   25
110 2021-05-22   32
111 2021-05-23   72
112 2021-05-24   42
113 2021-05-25   37
114 2021-05-26   20
115 2021-05-27   35
116 2021-05-28   22
117 2021-05-29   39
118 2021-05-30   32
119 2021-05-31   25
120 2021-06-01    4
121 2021-06-02   15
122 2021-06-03    7
123 2021-06-04   12
124 2021-06-05   30
125 2021-06-06   22
126 2021-06-07  172
127 2021-06-08  685
128 2021-06-09  245
129 2021-06-10  124
130 2021-06-11  977
131 2021-06-12  109
132 2021-06-13   85
133 2021-06-14   92
134 2021-06-15   67
135 2021-06-16   89
136 2021-06-17   44
137 2021-06-18   52
138 2021-06-19   85
139 2021-06-20   72
140 2021-06-21   60
141 2021-06-22   37
142 2021-06-23   39
143 2021-06-24   67
144 2021-06-25   27
145 2021-06-26   22
146 2021-06-27    9
147 2021-06-28    4
148 2021-06-29   15
149 2021-06-30   20
150 2021-07-01   44
151 2021-07-02  109
152 2021-07-03  177
153 2021-07-04  157
154 2021-07-05  114
155 2021-07-06   35
156 2021-07-07   17
157 2021-07-08   22
158 2021-07-09   42
159 2021-07-10   22
160 2021-07-11   17
161 2021-07-12   32
162 2021-07-13   30
163 2021-07-14   12
164 2021-07-15   12
