          date   data
0   2021-02-01    400
1   2021-02-02    615
2   2021-02-03    334
3   2021-02-04    364
4   2021-02-05    142
5   2021-02-06     37
6   2021-02-07     25
7   2021-02-08      9
8   2021-02-09    140
9   2021-02-10    367
10  2021-02-11    479
11  2021-02-12    317
12  2021-02-13    127
13  2021-02-14     65
14  2021-02-15     52
15  2021-02-16     12
16  2021-02-17     97
17  2021-02-18    294
18  2021-02-19    432
19  2021-02-20    709
20  2021-02-21    634
21  2021-02-22    404
22  2021-02-23    232
23  2021-02-24     87
24  2021-02-25     42
25  2021-02-26     47
26  2021-02-27    192
27  2021-02-28     79
28  2021-03-01    217
29  2021-03-02    177
30  2021-03-03    170
31  2021-03-04    202
32  2021-03-05    172
33  2021-03-06     79
34  2021-03-07    257
35  2021-03-08    109
36  2021-03-09    374
37  2021-03-10    690
38  2021-03-11    392
39  2021-03-12    294
40  2021-03-13    197
41  2021-03-14    409
42  2021-03-15    229
43  2021-03-16    237
44  2021-03-17    540
45  2021-03-18    732
46  2021-03-19    554
47  2021-03-20    632
48  2021-03-21    622
49  2021-03-22    377
50  2021-03-23    432
51  2021-03-24    259
52  2021-03-25    684
53  2021-03-26    465
54  2021-03-27    404
55  2021-03-28    262
56  2021-03-29    877
57  2021-03-30    527
58  2021-03-31    415
59  2021-04-01    362
60  2021-04-02    199
61  2021-04-03    184
62  2021-04-04    152
63  2021-04-05    312
64  2021-04-06    312
65  2021-04-07    102
66  2021-04-08    109
67  2021-04-09    447
68  2021-04-10    312
69  2021-04-11    449
70  2021-04-12    397
71  2021-04-13    327
72  2021-04-14    122
73  2021-04-15    127
74  2021-04-16    122
75  2021-04-17    192
76  2021-04-18    232
77  2021-04-19    310
78  2021-04-20    239
79  2021-04-21    114
80  2021-04-22     85
81  2021-04-23     37
82  2021-04-24      4
83  2021-04-25      4
84  2021-04-26    247
85  2021-04-27    842
86  2021-04-28    822
87  2021-04-29    664
88  2021-04-30   1045
89  2021-05-01    557
90  2021-05-02    444
91  2021-05-03    547
92  2021-05-04   1397
93  2021-05-05     27
94  2021-05-06     22
95  2021-05-07     39
96  2021-05-08     72
97  2021-05-09     89
98  2021-05-10     42
99  2021-05-11     17
100 2021-05-12     15
101 2021-05-13     49
102 2021-05-14    317
103 2021-05-15   7077
104 2021-05-16     52
105 2021-05-17     49
106 2021-05-18    117
107 2021-05-19    114
108 2021-05-20   3027
109 2021-05-21    745
110 2021-05-22    807
111 2021-05-23   1257
112 2021-05-24   1327
113 2021-05-25    634
114 2021-05-26    449
115 2021-05-27    582
116 2021-05-28    439
117 2021-05-29    672
118 2021-05-30    432
119 2021-05-31    355
120 2021-06-01    117
121 2021-06-02    224
122 2021-06-03    140
123 2021-06-04    247
124 2021-06-05    567
125 2021-06-06    419
126 2021-06-07   3197
127 2021-06-08  10174
128 2021-06-09   4189
129 2021-06-10   1907
130 2021-06-11  19089
131 2021-06-12   2322
132 2021-06-13   1310
133 2021-06-14   1127
134 2021-06-15   1007
135 2021-06-16   1387
136 2021-06-17    692
137 2021-06-18    937
138 2021-06-19   1380
139 2021-06-20   1259
140 2021-06-21    844
141 2021-06-22    582
142 2021-06-23    674
143 2021-06-24   1325
144 2021-06-25    594
145 2021-06-26    460
146 2021-06-27    182
147 2021-06-28    114
148 2021-06-29    119
149 2021-06-30    329
150 2021-07-01    782
151 2021-07-02   2419
152 2021-07-03   3245
153 2021-07-04   2667
154 2021-07-05   1612
155 2021-07-06    997
156 2021-07-07    582
157 2021-07-08    537
158 2021-07-09    765
159 2021-07-10    435
160 2021-07-11    467
161 2021-07-12    435
162 2021-07-13    304
163 2021-07-14    187
164 2021-07-15    215
