,comments
0,好像学生也全部请求退学了
1,你就非得当个二极管吗
2,真好啊，思想上的碰撞
3,一个大学生写的是多么，针砭时弊  连标题都透露着一种高级感
4,所以喷子要懂得喷重点
5,真的演谁像谁
6,陈乔年：让后代去享受我们披荆斩棘的幸福吧。
7,现时代仍需要鲁迅这样的人
8,.
9,骂的好，各位也都反思一下，如想改正就做出实际行动
10,李云龙:让我看看你小子有什么本事
11,他从黑暗泥泞中走来，带我们走向光明和坦途
12,二十一条那就没一条能答应，全是底线
13,低情商：我们现在还没达成（质变）
14,陈家最有种的两个男人
15,拖延症晚期
16,臣附议
17,一条未曾设想的道路
18,特意从开课啦跑出来看
19,演员扛的麻袋在这里是真的。
20,高中作文实用输材
21,原片这段我真的反复看
22,“容斋随笔只有五笔”
23,其实真实历史上是父亲给的生活费 大家安啦
24,哟！徐庶！
25,这里当时我就看哭了
26,三周就这样了啊秀哥，才一个寒假不到
27,您这嘴也忒损了哈哈哈
28,据本人说独秀原来是祖父取的但是自己很嫌弃，没想到后来真香了
29,直  播  带  货
30,开放新思想，争做新青年
31,震旦大厦！！！
32,壬左左？
33,上面已经决定了，你进水缸
34,妙手著文章
35,《新青年》
36,《网络现状》
37,那是什么？
38,全明星阵容啊，都是人物！
39,现代名言:认真你就输了
40,父子线很感人的 父子都是傲娇 其实很欣赏对方
41,那个时候都是在摸着石头过河，接受的理念也各不相同
42,百家争鸣
43,为什么用手抓饭？
44,这里我真的意料之外被感动到了
45,都是极端，应该理性思考，既不麻木也不易怒
46,陈独秀的秀是那个时代愿意站出来的秀才之一！致敬！
47,形似神似兼备的必需是我迅哥儿了
48,DNA动了
49,我要当面亲吻仲甫兄
50,再娶媳妇生孩子没落下
51,没票还去读大学？
52,这些都是张锡峰口中的“穷人”！
53,卧槽我才反应过来
54,历史上的高君曼也这么美?!好漂亮啊
55,延年乔年真的是意难平
56,行严先生！！
57,岂曰无衣 与子同袍
58,七、健壮的而非体弱的
59,哎哟哎哟哎哟哟哟哟，太经典了
60,“真理是越辩越明的”
61,章士钊先生真的好帅
62,汪孟邹：哎呦，哎呦，哎哟哟哟
63,天下谁人不识君
64,张永新是不是导演的军师联盟？
65,感觉和延年放蚂蚁对应了
66,看完这个片子我又有动力奋斗了
67,于和伟真是演一个像一个，看到他我就满脑子接着奏乐接着舞
68,哇塞这么难得啊
69,我希望这样的生活方式，思考方式，可以在百年之后，重新，慢慢回到这片土地上
70,发自心底的呼喊
71,这两兄弟都是尊重生命，胸有抱负的好孩子
72,这里真的看得又苦又好笑…
73,当时看到真的好想哭… 一望无际的大海上，他们是国人的脊梁
