region,title,view_num,danmu,upload_time,up_author,video_url
影视杂谈,我们的考点，是他们的一生！高燃民国历史剧《觉醒年代》P1,606.8万,5.1万,2021-04-11,木鱼水心,www.bilibili.com/video/BV1rb4y1D7Gf?from=search
影视剪辑,【觉醒年代】我拥过你拥过的晚风,325.1万,6572,2021-05-16,秦巴少年_,www.bilibili.com/video/BV1964y1C7jR?from=search
影视剪辑,【觉醒年代×欢快向】文人的欢快日常！来看点开心的！,181.1万,3506,2021-06-09,hojia_,www.bilibili.com/video/BV1B44y1679g?from=search
影视剪辑,“若盛世将倾，深渊在侧，我辈当万死以赴”觉醒年代 鲁迅｜曹磊中心向 纪念人类群星闪耀时，纪念五四,156.8万,3179,2021-05-03,吹不倒的墙头草_,www.bilibili.com/video/BV1WU4y187rF?from=search
影视剪辑,我辜鸿铭，是一个堂堂正正的中国人。｜ 觉醒年代,239.3万,3238,2021-06-16,一未言青,www.bilibili.com/video/BV1mg411g7Z2?from=search
影视剪辑,“希望我们的创作，可以让觉醒年代四个字深入人心”,137.3万,3819,2021-06-19,Double邓,www.bilibili.com/video/BV1Py4y1g7Zi?from=search
影视剪辑,【陈延年陈乔年|觉醒年代】 请笃信一个梦,79.0万,1858,2021-05-24,晚巷山,www.bilibili.com/video/BV1xf4y1h7BQ?from=search
影视剪辑,觉醒年代丨姜云升 || 你一定能够成为你想要去成为的人丨台词向双声道群像混剪,42.0万,2716,2021-06-22,syheechul,www.bilibili.com/video/BV1Hb4y1C7LS?from=search
影视剪辑,【觉醒年代|欢乐向】用家有儿女的方式打开觉醒年代,12.2万,574,2021-07-05,小炮爱吐槽,www.bilibili.com/video/BV1Ko4y1X7ny?from=search
影视剪辑,【觉醒年代】台词向超燃催泪混剪 | 我们自己的国家，我们不爱，谁爱,108.9万,564,2021-05-27,蓝小小独,www.bilibili.com/video/BV18K4y1R7j8?from=search
影视杂谈,9.3分爆燃神剧《觉醒年代》，核能催泪片段原来这么拍的,146.5万,8353,2021-05-01,排雷小分队,www.bilibili.com/video/BV1zA411V7Aw?from=search
影视剪辑,【觉醒年代＆少年中国说】陈 氏 满 门 忠 烈 啊 ! ! !,231.3万,3834,2021-04-10,慕容锦枫,www.bilibili.com/video/BV1KV411H78A?from=search
影视剪辑,【欢快搞笑向】觉醒年代喊你来背诗|全员杀疯了,34.0万,594,2021-06-20,灰昼_,www.bilibili.com/video/BV1Mw411f7oN?from=search
人文历史,【觉醒年代】里面一定有你听过的名字，也有你懂的故事。,176.4万,4477,2021-07-03,次元复写纸,www.bilibili.com/video/BV1Zy4y1M7sK?from=search
影视剪辑,【觉醒年代|陈独秀×陈延年×陈乔年】“父慈子孝”名场面,5.3万,137,2021-07-12,凹run汁是橙子,www.bilibili.com/video/BV1iX4y1w7K7?from=search
影视剪辑,泪目混剪|超强声音联盟致敬革命先辈，二度演绎《觉醒年代》,5.2万,229,2021-07-03,新华网,www.bilibili.com/video/BV1Zb4y1C7Y8?from=search
影视剪辑,【觉醒年代】留法四人组yyds,18.4万,95,2021-06-11,燕燕的小仓库,www.bilibili.com/video/BV18K4y137fr?from=search
影视剪辑,“遍地哀鸿满城血，无非一念救苍生”【觉醒年代群像| 燃虐| 双声道台词向】,89.8万,2707,2021-07-01,春风拾纸鸢,www.bilibili.com/video/BV1S64y1976z?from=search
影视剪辑,【觉醒年代】可爱向|这部剧的每个角色都越看越可爱啊！！,113.5万,1243,2021-05-28,最爱俊俊小天使,www.bilibili.com/video/BV1YK4y1R7WX?from=search
人文历史,公知现形，富豪被嘲，觉醒年代封神，年轻人为啥越来越战狼？,168.1万,2.8万,2021-07-02,不良博士,www.bilibili.com/video/BV1bq4y1s7V5?from=search
人文历史,【觉醒年代】里面一定有你听过的名字，也有你懂的故事。,176.4万,4477,2021-07-03,次元复写纸,www.bilibili.com/video/BV1Zy4y1M7sK?from=search
影视剪辑,【觉醒年代】卧槽！北大校花！原谅我之前对刘师培的美貌一无所知,27.0万,204,2021-05-09,是璐璐欧尼啊,www.bilibili.com/video/BV1Bb4y1f7vC?from=search
影视剪辑,【觉醒年代群像】唢呐一响，不是大喜就是大悲,30.0万,406,2021-06-04,是璐璐欧尼啊,www.bilibili.com/video/BV14q4y1j7Hd?from=search
社科·法律·心理,《觉醒年代》的选角有多绝？,320.8万,5836,2021-05-14,观察者网,www.bilibili.com/video/BV1664y127Gr?from=search
人文历史,公知现形，富豪被嘲，觉醒年代封神，年轻人为啥越来越战狼？,168.1万,2.8万,2021-07-02,不良博士,www.bilibili.com/video/BV1bq4y1s7V5?from=search
影视剪辑,【觉醒年代|欢乐向】论花生瓜子在民国时期的重要性|民国时期革命大佬们的轻松日常【失恋阵线联盟】,85.4万,614,2021-05-19,棉袄君TmT,www.bilibili.com/video/BV1xy4y1W78u?from=search
影视剪辑,【觉醒年代】凶惨的敌人为了折磨他，竟然绞了他三次，历时28分钟,101.7万,1240,2021-06-07,再难也不放弃希望i,www.bilibili.com/video/BV1jo4y127px?from=search
影视剪辑,【觉醒年代】“我愿意 奋斗终身！”,170.3万,6320,2021-03-20,小冯同学今天开心了吗,www.bilibili.com/video/BV1Dh411Q7wU?from=search
影视剪辑,【觉醒年代|群像】民国文人大佬的轻松日常,195.1万,4665,2021-03-12,剪刀手艾德琪,www.bilibili.com/video/BV1wp4y1h7oJ?from=search
搞笑,【觉醒年代版Q宝】内置北大男团语音包，一款真正人性化的智能语音,18.7万,1838,2021-05-09,雨打梨花深闭門,www.bilibili.com/video/BV1Bf4y1a7wV?from=search
影视剪辑,他看见觉醒年代的后续了“先生，他们爱我”,84.3万,787,2021-06-05,Double邓,www.bilibili.com/video/BV1Hw411Z7Jg?from=search
影视剪辑,觉醒年代，他从风雨中走来……,195.4万,6404,2021-03-30,共青团中央,www.bilibili.com/video/BV1uy4y1b78d?from=search
